Page Name	Categories	Subcategories	Tags	Discription	UPC list	Part # list	Extra Info list	color
Faceplate Screws	Tub Accessories	Parts		"Solid brass screws for Tub Overflow Faceplate. fillips head, 1/4-20  
 "	20029,20045,20043,20044,20022,20032	FP1413,FP1413PBR,FP1413SN,FP1413ORB,FP1412,FP1412ORB	" - - - - - - - -  2"" - - - - - - - -,Chrome,Polished Brass,Satin Nickel,Oil Rubbed Bronze, - - - - - - - - 1 3/4"" - - - - - - - -,Chrome,Polished Brass,Oil Rubbed Bronze"	
Faceplate Conversion Bracket	Tub Accessories	Parts		Aluminum Bracket, converts Bathroom Tub Faceplate from two hole to one hole.   	20030	TD30001	 - - - - - - - - - - - - - - - -,Conversion Bracket	
Tub Spout 1-4-all Kit	Tub Spout, Tub Accessories	Parts, Kit	1-4-All Universal Fit, Kit	1-4-All Universal Tub Spout Attachment Kit.  	10190,14107,80202,80203	S1400,S1407,CS1400,CS1407	" - - - - - - - - - - - - - - - -,Fits 5"" nose mount tub spouts.  TS134, TS137 ,Fits 7"" nose mount tub spouts.  TS124, TS127 ,S1400 packed in a clamshell,S1407 packed in a clamshell"	
Duplex Strainer Assembly	Kitchen & Accessories	Strainer Assembly	Duplex	Chrome Plated all brass duplex strainer assembly   	12163	SA103	- - - - - - - - - - - - - - - -,Chrome	
SS Junior Duo Strainer Assembly	Kitchen & Accessories	Strainer Assembly	Jr Duo	Polished Stainless Steel Junior Duo Strainer Assembly with post gasket and nut   	12164,12165	SA104,SA1041	- - - - - - - - - - - - - - - -,Stainless Steel,Basket only	
SS Duplex Strainer Assembly	Kitchen & Accessories	Strainer Assembly	Duplex, Stainless Steel	Polished Stainless Steel Duplex Strainer Assembly with flange strainer & nuts   	12166	SA106	- - - - - - - - - - - - - - - -,Stainless Steel	
SS Dome Grid Strainer	Kitchen & Accessories	Strainer Assembly	Dome, Stainless Steel	Polished Stainless Steel Drain with dome grid, strainer   	12169	SA109	- - - - - - - - - - - - - - - -,Stainless Steel	
Drain Grid Assembly	Kitchen & Accessories	Strainer Assembly	Flat	All Brass Drain assembly for Kitchen Sink with Strainer Grid   	12167	SA113	- - - - - - - - - - - - - - - -,Chrome	
Kitchen Sink Strainer Assembly	Kitchen & Accessories	Strainer Assembly	Spin and Seal, Stainless Steel	"All Stainless Steel Kitchen Strainer Assembly.  Fits 3 1/2"" to 4"" opening. "	12171,12172	SA151,SA1512	- - - - - - - - - - - - - - - -,Stainless Steel Assembly,For Basket Only	
SS Deep Cup Basket	Kitchen & Accessories	Strainer Assembly	Deep Cup, Stainless Steel	Polished Stainless Steel Kitchen Sink Strainer Assembly with Deep Cup Basket, post, gasket & nuts   	12176	SA160	- - - - - - - - - - - - - - - -,Stainless Steel	
SS Modern Spin & Seal Assembly	Kitchen & Accessories	Strainer Assembly	Spin and Seal, Stainless Steel	Polished Stainless Steel Modern 'Spin & Seal' Kitchen Sink Strainer Assembly   	12178	SA171	- - - - - - - - - - - - - - - -,Stainless Steel	
SS Basket Strainer	Kitchen & Accessories	Strainer Assembly	Basket, Stainless Steel	Stainless Steel Basket Strainer with die cast slip joint nut    	12179	SA172	- - - - - - - - - - - - - - - -,Stainless Steel	
Heavy Industrial Sink Strainer	Kitchen & Accessories	Strainer Assembly	Industrial	Chrome Plated Brass Body Kitchen Sink Strainer with Industrial Heavy Gauge   	12174	SA250	- - - - - - - - - - - - - - - -,Chrome	
"4 1/2"" Strainer Assembly"	Kitchen & Accessories	Strainer Assembly	"4.5""D, Wide"	"Chrome Plated 4-1/2""D All Brass Kitchen Strainer Assembly   "	12180,12181,12182	SA275,SA2751,SA2751B	- - - - - - - - - - - - - - - -,Chrome,Basket only, with Rubber Stopper,Basket only, with Solid Brass Stopper	
Countertop Hose Guide	Kitchen & Accessories	Rinse Spray	Hose Guide	Pull out spray hose Guide Assembly with Stainless Steel Trim    	12153,12155,12154,12191	RS310,RS310W,RS310A,RS340	- - - - - - - - - - - - - - - -,Black,White,Almond,Chrome for RS333	
Countertop Rinse & Spray Heads	Kitchen & Accessories	Rinse Spray	Spray Head	Rinse & Spray heads.   	12190,12152,12160,12150,12158,12151	RS333,RS300W,RS330W,RS300,RS330,RS300A	- - - - - - - - - - - - - - - -,Chrome,White,White, Hose Included,Black,Black, Hose Included,Almond	
Countertop Rinse Spray Hose	Kitchen & Accessories	Rinse Spray	Hose	Kitchen Sink Rinse Spray Hose with Brass Adapter, clear vinyl hose.    	12156	RS320	- - - - - - - - - - - - - - - -,Clear	
Countertop Rinse & Spray Attachment Kit	Kitchen & Accessories	Parts, Hose Connection	Parts	Two Rubber Washers and One Spring Clip for kitchen sink pull out assembly 	12161	RS3202	- - - - - - - - - - - - - - - -,Washers and Kit.	
Facet Pull Out Sprayer	Kitchen & Accessories	Facet Pull Out Sprayer	1.8 GPM, Spray Head	Kitchen Sink Spray Head for Pull Out Facet (1.8 GPM)    	12115,12119,12114,12109,80167,80217	ET53104,ET53104SN,ET53103,ET53101,CET53104,CET53104SN	- - - - - - - - - - - - - - - -,Chrome,Satin Nickel,White,White w Black,Chrome, Carded,Satin Nickel, Carded	
Facet Pull Out Hose	Kitchen & Accessories	Facet Pull Out Sprayer	Hose	Kitchen Sink Pull Out Hose   	12110,12122,12116	ET53102,ET531022,ET53102K	- - - - - - - - - - - - - - - -,Hose only,Hose and Kit,Kit only	
Aerator Display	Kitchen & Accessories	Aerator	1.2 GPM, 2.2 GPM	Countertop Aerator Display, for 9 tubes of 6.   	12078,12102	FA200D1.2,FA200D	- - - - - - - - - - - - - - - -,Chrome, 1.2 GPM,Chrome, 2.2 GPM	
Facet Aerators	Kitchen & Accessories	Aerator	1.5 GPM, 1.2 GPM, 2.2 GPM	"Faucet Aerator,1.2 GPM, Thread Female, 13/16"" x 24""  Various quantities available.  "	12056,12123,20103,12117,20120,12073,12101,12054,20108	FA2201.2,FA200T1.2,FA2201.2BULK,FA2001.2PBRPVD,FA2001.2PBRPVDBULK,FA200T1.5,FA200T2.2,FA2202.2,FA2202.2BULK	- - - - - - - - - - - - - - - -,1.2 GPM.  Chrome, Single,1.2 GPM.  Chrome, Tube of 6,1.2 GPM.  Chrome, Bulk,1.2 GPM.  Polished Brass, Single,1.2 GPM.  Polished Brass, Bulk,1.5 GPM.  Chrome, Tube of 6,2.2 GPM.  Chrome, Tube of 6,2.2 GPM.  Chrome, Single,2.2 GPM.  Chrome, Bulk	
Glass Filler Faucet	Kitchen & Accessories	Drinking faucet		Drinking Water Glass Filler Faucet Spout for commercial / medical use   	14141,14143	BF157,BF159	"- - - - - - - - - - - - - - - -,Chrome. 6"",Chrome, 8"""	
"8"" Glass Filler Faucet"	Kitchen & Accessories	Drinking faucet	"8"""	"8""H Glass filler faucet for drinking water fountain or medical water spout    "	14143	BF159	"- - - - - - - - - - - - - - - -,Chrome. 8"",Chrome, 6"""	
Toilet Lever	Toilet Accessories	Lever		Universal Fit Toilet Tank Lever packaged in clear poly bag. Bulk Options are unpackaged and sold in cases of 100.   	12100,12108,20109,20110,20112	TL8,TL8PBR,TL8S,TL8BULK,TL8PBRBULK	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass,Chrome, Sleek Design,Chrome (Bulk),Polished Brass (Bulk)	
Faucet Seat Wrenche	Tools	Wrench	Faucet Seat, Step, Tapered	Faucet seat wrenches in different styles, hex and square ends fit most faucet seats.   	12003,12002,12009	SW1016,SW1015,SW1017	 - - - - - - - - - - - - - - - -,Tapered L shape,Stepped L shape,Tapered. Square shaft for use with wrench.	
Adjustable Spud Wrench	Tools	Wrench		Large Adjustable Spud Wrench Steel construction with rubber grip.    	10296	SW109B	 - - - - - - - - - - - - - - - -,Spud Wrench	
Adjustable Basin Wrench	Tools	Wrench	Basin Wrench	"Telescopic Adjustable Basin Wrench (shank adjusts from 10""-17"" and jaw capacity 1.25"" and 2""   "	12004,12024	BW1003,BW1004	 - - - - - - - - - - - - - - - -,1.25 inch jaw capacity ,2 inch jaw capacity 	
Plug Wrench	Tools	Wrench	Plug Wrench	P.O. Plug Wrench.  Malleable Iron keeps P.O. plug and basket, straight and in place during installation.    	12014	PW70	 - - - - - - - - - - - - - - - -,Plug Wrench	
Sillcock Key	Tools	Various Items	Sillcock Key	4-in-1 Hardened steel sillcock key.  Fits most sillcocks.   	12013	SK41	 - - - - - - - - - - - - - - - -,Sillcock Key	
Socket Wrench Set	Tools	Wrench	Socket Wrench, 10 Sizes	"Socket Wrench Set with 10 sizes (21/32"", 27/32"", 29/32"", 31/32"", 1-1/32"", 1-3/32"", 1-5/32"", 1-9/32"", 1-11/32"", 1-7/16"")   "	12010,12018	SW1035,SW10352	" - - - - - - - - - - - - - - - -,10 piece set,Single Bit: 29/32"" & 31/32"" (most popular size)"	
"29/32"" & 31/32"" Socket Wrench Bit"	Tools	Wrench	Socket Wrench	"Socket Wrench 29/32"" & 31/32"" The most popular size socket wrench bit   "	12018	SW10352	" - - - - - - - - - - - - - - - -,Single Bit 29/32"" & 31/32"""	
Strainer Nut Wrench	Tools	Wrench	Strainer Wrench, Nut Wrench	Wrench for strainer nut or spanner   	12015	SW1038	 - - - - - - - - - - - - - - - -,Strainer Nut Wrench	
Strainer Wrench	Tools	Wrench	Strainer Wrench	Strainer Wrench    	12011	SW1040	 - - - - - - - - - - - - - - - -,Strainer Wrench	
Basket and Tub Strainer Wrench	Tools	Wrench		Basket and Tub Strainer Wrench packaged in blister clamshell with product label   	12088,12048	SW1044,SW1044BULK	 - - - - - - - - - - - - - - - -,Packed in clamshell,Bulk Unpackaged	
Socket Wrench	Tools	Wrench	Socket Wrench	"Socket Wrench 21/32"" and 27/32"" (Mini JACO fitting socket wrench)   "	12097	SW1057	" - - - - - - - - - - - - - - - -,21/32"" & 27/32"""	
Strap Wrench	Tools	Wrench	Strap Wrench	Strap Wrench made from reinforced rubber   	12037,12036	SW500,SW510	 - - - - - - - - - - - - - - - -,Large: 8 Inch handle with 5 1/2 inch diameter capacity.,Small: 6 Inch handle, with 3 3/4 diameter capacity	
PVC Pipe Cutter	Tools	Pipe Cutter	PVC	"PVC Pipe Cutter aluminum construction  (cuts 1/2"" to 1-1/4"" OD)   "	12001,12005	CP42,CP421	 - - - - - - - - - - - - - - - -,Pipe Cutters,Replacement Blade	
Heavy Duty Pipe Cutter	Tools	Pipe Cutter	PVC	Professional pipe cutter cuts PVC pipe 3-45m/m aluminum body   	12089	CP45	 - - - - - - - - - - - - - - - -,Pipe Cutter	
PVC Pipe Cutter Single Hand Operation	Tools	Pipe Cutter	PVC	"PVC Pipe cutter with aluminum body and high carbon steel blade easy handling (1/4"" to 2-1/2"")   "	12076,12077	CP63A,CP63A1	 - - - - - - - - - - - - - - - -,Pipe cutter,Replacement Blade	
PVC Pipe Cutter 2 Hand Operation	Tools	Pipe Cutter	PVC	"PVC Pipe Cutter with Aluminum Body and High Carbon Steel Blade cuts up to 2"" schedule 40 PVC (1/2"" to 2-1/2"" OD)   "	12065,12039	CP65,CP501	 - - - - - - - - - - - - - - - -,Pipe Cutter,Replacement Blade	
Heavy Duty Cable Cutter	Tools	Various Items		"Heavy Duty Wire Cable Cutter.  For Copper and Aluminum only.  Cuts up to 3/4"" diameter. Heat treated cutting edge.   "	12023	CC1128	 - - - - - - - - - - - - - - - -,Cable Cutters	
Inside Plastic Pipe Cutter	Tools	Pipe Cutter		"Plastic Pipe Cutter with heat treated steel blade with zinc plated hex shank drill bit packaged in blister clamshell with product card.  Replacement blades packaged individually in resealable bags. 
Bulk options do not include packaging.  "	12029,20026,12030,20027	PC100,PC100BULK,PC100B,PC100BBULK	 - - - - - - - - - - - - - - - -,Pipe Cutter, Packed in blister and card,Bulk, loose packaged pipe cutters,Replacement Blade individually packed and labled,Replacement Blades Bulk (Quantities 50+ preferred)	
Heavy Duty Hose Cutter	Tools	Various Items		Heavy Duty Hose Cutter   	12021	HC32	 - - - - - - - - - - - - - - - -,Hose Cutter	
Mini Tube Cutter	Tools	Pipe Cutter	Copper Pipe	"Mini Tube Cutter 1/8"" to 5/8"" OD with Rollers   "	12017	TC1021	 - - - - - - - - - - - - - - - -,Mini Tube Cutter	
Metal Pipe Cutter	Tools	Pipe Cutter	Copper Pipe	"Pipe Cutter 1/8"" to 1-1/8"" diameter capacity for copper, brass, aluminum, and thin-wall conduit tubing with adjustable telescoping feature   "	12008	TC1025	 - - - - - - - - - - - - - - - -,Pipe Cutter	
Quick Release Tubing Cutter	Tools	Pipe Cutter	Copper Pipe	Tubing Cutter, Quick Release, Aluminum Body, Carbon Steel Blade, 1' Capacity   	12093	TC22	 - - - - - - - - - - - - - - - -,Pipe Cutter	
Pipe & Tube Cutter	Tools	Pipe Cutter	De-burring Tool, Copper Pipe	"Pipe / Tube Cutter by Maxclaw 1/8"" to 1-1/4"" diameter capacity, with attached deburring tool    "	12028,12034	TC220,TC2202	 - - - - - - - - - - - - - - - -,Pipe Cutter,Replacement Deburring Blade	
Automatic Pipe Cutter	Tools	Pipe Cutter	Copper Pipe	"Automatic Pipe Cutter for 1/2"" (15mm) or 3/4"" (22mm) OD tube   "	12090,12091	TC50,TC75	" - - - - - - - - - - - - - - - -,For 1/2"" OD Pipe,For 3/4"" OD Pipe"	
Tubing Cutter	Tools	Pipe Cutter	Copper Pipe	Tubing Cutter, 2 in one spring loaded mechanism, 1/4' - 1 1/8'   	12084,12085	TCR155,TCR1551	 - - - - - - - - - - - - - - - -,Tubing Cutter,,Replacement Blade	
Tin Snips	Tools	Various Items		Tin Sheet Cutter.  Heat treated cutting edge. Convenient swing away spring allows for compact storage.     	12022	TC1127	 - - - - - - - - - - - - - - - -,Tin Sheet Cutters	
Compression Sleeve Puller	Tools	Various Items		Hassle-free professional Compression Sleeve Puller    	12081	CSP103	 - - - - - - - - - - - - - - - -,Compression Sleeve Puller	
Currently Unavailable CSP105 	Tools	Various Items		Hassle-free professional Compression Sleeve Puller   	12082,12083	CSP105,CSP1051	 - - - - - - - - - - - - - - - -,Compression Sleeve Puller,Replacement Tip	
Jaws Wrench	Tools	Wrench	Jaws	"10"" Long Power Jaws Wrench with 1-1/2"" Jaw Capacity  "	12025	J1010	 - - - - - - - - - - - - - - - -,Jaws 	
Water Pump Pliers	Tools	Various Items	pliers	Water Pump Pliers    	12027,12041	PP624,P6241	 - - - - - - - - - - - - - - - -,Pliers,Replacement Jaws	
Curved Jaw Pliers	Tools	Various Items	pliers	Curved Jaw Pliers.  Designed for hard to hold and delicate finish surfaces.  Includes protective covers for the jaws. 	12020	PP20	 - - - - - - - - - - - - - - - -,Pipe Pliers	
Deluxe Flaring Tool	Tools	Various Items		Deluxe Flaring Tool   	12007	FT100	 - - - - - - - - - - - - - - - -,Flaring Tool	
De-burring Tool	Tools	Various Items		De-burring Tool with Replacement Blade, plastic or aluminum body.    	12031,12032,12062,12035	DT300,DT100,DT1001PB,DT1001	 - - - - - - - - - - - - - - - -,Deburring Tool, Aluminum Construction,Deburring tool, Plastic construction. ,Replacement blades, 5 pack,Replacement Blades, Bulk (Quantities of 50+ Preferred)	
Cartridge Puller	Tools	Various Items	Cartridge Puller	Cartridge Puller (can be used on Moen cartridges)   	12043	MCP110	 - - - - - - - - - - - - - - - -,Cartridge Puller	
Nipple Extractor	Tools	Various Items	Nipple Extractor	"Nipple Extractor set with Pouch (1/8""- 1/4"" -3/8""- 1/2""- 5/8""-3/4"" Size Pipe Nipples for total of 6 nipples)   "	12044	NE167	 - - - - - - - - - - - - - - - -,Nipple Extractors, Set of 6	
Spud Chuck	Tools	Various Items	Spud Chuck	"Spud Chuck (Nipple Extractor) with 1"" to 2"" Capacity.  Expands with eccentric action of twin jaws with knurled gripping faces.    "	12094	SC102	 - - - - - - - - - - - - - - - -,Spud Chuck	
Hydrant Key	Tools	Various Items		"Hydrant Key 8mm or 5/16"" and 10 mm or 13/32"" square broach (fits Zurn unit)   "	12042	HK02	 - - - - - - - - - - - - - - - -,Hydrant Key	
Faucet & Valve Handle Puller	Tools	Various Items		Impact Faucet & Valve Handle Puller   	12012	HP1043	 - - - - - - - - - - - - - - - -,Handle Puller	
DK-03	Glass Vessels	Drop In		"Clear glass vessel bowl with hand drawn fish.  Approximately 17"" wide and 6"" high
 "	14208	DK03	 - - - - - - - - - - - - - - - -,Fish	
BN620-1	Glass Vessels	Drop In		"Layered Cherry Wood with dark grain glass sink vessel.  Approximately 17"" wide and 6"" high "	14215	BN6201	 - - - - - - - - - - - - - - - -,Red Glass	
BN62-10	Glass Vessels	Drop In		"Fiery Amber Glass Vessel with Clear Zebra-like stripes. Approximately 17"" wide and 6"" high "	14218	BN6210	 - - - - - - - - - - - - - - - -,Amber Stripped Glass	
WM-04	Glass Vessels	Drop In		"Fiery amber glass vessel bowl with scalloped edges inner shell design. Approximately 20"" wide and 6"" high "	14222	WM04	 - - - - - - - - - - - - - - - -,Amber Glass	
WM-08	Glass Vessels	Drop In		"Transparent Deep Garnet Glass Vessel sun design in bowl. Approximately 17"" wide and 6"" high "	14223	WM08	 - - - - - - - - - - - - - - - -,Red Glass	
RR-07	Glass Vessels	Drop In		"Golden Sun-like Amber Glass Vessel Bowl with vertical striations. Approximately 17"" wide and 6"" high "	14204	RR07	 - - - - - - - - - - - - - - - -,Golden Amber	
BN62-11	Glass Vessels	Drop In		"Sapphire Blue with Clear zebra like stripes glass vessel bowl smooth half sphere. Approximately 17"" wide and 6"" high "	14219	BN6211	 - - - - - - - - - - - - - - - -,Blue Striped Glass	
4000-OB	Glass Vessels	Drop In		"Ocean Blue, round, glass vessel sink.  Approximately 17"" wide and 6"" high "	14192	4000OB	 - - - - - - - - - - - - - - - -,Ocean Blue Glass	
QG-04	Glass Vessels	Drop In		"Glass Vessel Bowl, premium Onyx (Transparent Black-brown)  Approximately 17"" wide and 6"" high "	14201	QG04	 - - - - - - - - - - - - - - - -,Clear Black Glass	
BN620-3	Glass Vessels	Drop In		"Marvelous Marbleized colors Gray, Blue, Gold, Black Glass Vessel Bowl.  Approximately 17"" wide and 6"" high "	14216	BN6203	 - - - - - - - - - - - - - - - -,Marbled Glass	
SC-10	Glass Vessels	Drop In		"High-end Marbleized Blue, White, Gold, Grey, and Black Glass Vessel Bowl.  Approximately 17"" wide and 6"" high "	14207	SC10	 - - - - - - - - - - - - - - - -,Marbled Glass	
QG-08	Glass Vessels	Drop In		"Elegant Clear Glass Vessel Bowl (tempered glass) Approximately 17"" wide and 6"" high "	14203	QG08	 - - - - - - - - - - - - - - - -,Clear Glass	
DK-06	Glass Vessels	Drop In		"Beautiful French green hue glass vessel with ribbed circle imprint design.  Approximately 17"" wide and 6"" high "	14209	DK06	 - - - - - - - - - - - - - - - -,French Green Glass	
RR-13	Glass Vessels	Drop In		"Beautiful French Green hue glass vessel bowl with leaf imprints and rustic design.  Approximately 17"" wide and 6"" high "	14206	RR13	 - - - - - - - - - - - - - - - -,French Green Glass	
QG-01	Glass Vessels	Drop In		"Clear Glass Vessel Bowl with Flower-like sculpted edges. Approximately 17"" wide and 6"" high "	14200	QG01	 - - - - - - - - - - - - - - - -,Clear Glass	
DK-16	Glass Vessels	Drop In		"Clear glass vessel bowl with detailed mosaic fracture-like design.  Approximately 17"" wide and 6"" high "	14210	DK16	 - - - - - - - - - - - - - - - -,Clear Glass	
DK-20 	Glass Vessels	Drop In		"Clear glass vessel bowl with external square details.  Approximately 17"" wide and 6"" high "	14211	DK20	 - - - - - - - - - - - - - - - -,Clear Glass	
DK-26	Glass Vessels	Drop In		"Clear glass vessel bowl with external leaf and dots design.  Approximately 17"" wide and 6"" high "	14212	DK26	 - - - - - - - - - - - - - - - -,Clear Glass	
RR-11	Glass Vessels	Drop In		"Clear Glass Vessel Bowl with dot design and extra rim, approximately 20"" wide and 6"" high "	14205	RR11	 - - - - - - - - - - - - - - - -,Clear Glass	
Free Standing 1 Piece Deck and Sink	Glass Vessels	One Piece		Free standing wall mount chrome plated deck & glass sink vessel French Green. (includes mounting bracket and under sink assembly cover)    	14180	4300FG	 - - - - - - - - - - - - - - - -,French Green	
Glass Vessel Mounting Deck	Glass Vessels			"Glass Vessel mounting deck. 7/16"" clear tempered glass with chrome plated brass mounting brackets and support legs, with adjustable feet for leveling.  "	14188	8800	 - - - - - - - - - - - - - - - - ,Clear Glass Vessel Mounting Deck	
Shower Hose Washer	Various Items	Washer		"Rubber Washer with 3/4"" OD for 1/2"" pipe and shower hose connection 1/16"" - 1/4"" thickness   "	20040,20041,20042,10300	L90,L290,L334,SCW15	" - - - - - - - - - - - - - - - -,1/4"" Thick,1/8"" Thick,1/16"" Thick,Variety Pack, 5 each of 1/4"", 1/8"", 1/16"""	
Hose Bibb Vacuum Breaker	Various Items	Vacuum breaker		Solid brass vacuum breaker for outdoor garden hose.     	12058	VB125	 - - - - - - - - - - - - - - - -,Vacuum breaker	
Screened Shower Hose Washer	Various Items	Washer		"Rubber Washer for 1/2""  pipe and shower hose connection with stainless steel screen    "	20039	L295S	 - - - - - - - - - - - - - - - -,Rubber Washer with Screen	
Facet Washer Bibb Chest	Various Items	Facet Washer Bibb Chest	Flat, Beveled	Bibb Chest stuffed full of Rubber Faucet Washers in various sizes, flat or beveled.  WK190B and WK350F are made from Buna-N (Nitrile), an FDA approved material.   	12052,12050,12053,12051	WK200B,WK190B,WK400F,WK350F	 - - - - - - - - - - - - - - - -,Beveled,Beveled, Nitrile (FDA Approved material),Flat,Flat, Nitrile (FDA Approved material)	
Flat Facet Washers	Various Items	Facet Washer	Flat	"Flat Washers 00 trade size - 1/2""  and 1/2"" OD made from FDA grade Nitrile (Buna-N / NBR) packaged in resealable bag of 50 or 100 with product label.  (Bulk options available upon request)    "	10308,10309,10310,10311,10312,10313,10314,10315	FW2908100,FW2909100,FW2910100,FW2911100,FW2912100,FW291350,FW291450,FW291550	" - - - - - - - - - 100 Pack - - - - - - -,00 trade size,0 trade size,1/4"",1/4L trade size,3/4"", - - - - - - - - 50 Pack - - - - - - - -,3/8M trade size,3/8L trade size, ,1/2"""	
Beveled Facet Washers	Various Items	Facet Washer	Beveled	"Beveled Washers 00 trade size - 1/2""  and 1/2"" OD made from FDA grade Nitrile (Buna-N / NBR) packaged in resealable bag of 50 or 100 with product label. (Bulk options available upon request)   "	10318,10319,10320,10321,10322,10323,10324,10325	FW1699100,FW1699A100,FW1700100,FW1701100,FW1702100,FW170350,FW170450,FW170550	" - - - - - - - - 100 Pack- - - - - - - -,00 trade size,0 trade size,1/4"",1/4L trade size,3/8"", - - - - - - - - 50 Pack - - - - - - - -,3/8M trade size,3/8L trade size,1/2"""	
Vessel Mounting Disk	Glass Vessel Accessories	Vessel Mount		All Brass Glass Sink Vessel Mount (Disc Style)   	14169,14091,14092	LP69,LP69SN,LP69ORB	 - - - - - - - - - - - - - - - -,Chrome,Satin Nickel,Oil Rubbed Bronze	
Push & Lock For Glass Vesicles	Bathroom Sink Drains, Glass Vessel Accessories	Push & Lock	No Overflow, All Brass	"All Brass Dome Style Push & Lock Lavatory Drain with 4""L shank   "	14164,14243,14242	LP684,LP684SN,LP684ORB	 - - - - - - - - - - - - - - - -,Chrome,Satin Nickel,Oil Rubbed Bronze	
Rotating Swivel Stopper Drain For Glass Vescles	Bathroom Sink Drains, Glass Vessel Accessories	Various Items	No Overflow, All Brass	All Brass Rotating & Swivel Stopper Drain   	14171	LP687	 - - - - - - - - - - - - - - - -,Chrome	
"12"" High Vessel Faucet"	Glass Vessel Accessories	Faucet		"Chrome plated 12""H Faucet for glass Deck Mount (For 8800, and 4300FG)   "	14176	GVF613C	 - - - - - - - - - - - - - - - -,Chrome	
"1 1/4"" Direct Connect"	Glass Vessel Accessories	Tailpiece		"Brass flange tailpiece with 1-1/4"" Slip Nut and Washer   "	14175,14174	LP600,LP6001	 - - - - - - - - - - - - - - - -,Chrome,Satin Nickel,Oil Rubbed Bronze,Rubber washer	
Glass Vessel Protection Strip	Glass Vessel Accessories	Parts		Vinyl Protection Strip for glass vessels   	14168	VS4000	 - - - - - - - - - - - - - - - -,Clear Vinyl	
Glass Vessel Dome Drain Covers	Glass Vessel Accessories	Parts	No Overflow, All Brass	All Brass Drain Dome Cover in different length shanks   	14088,14095	LP66ORB,LP66100ORB	" - - - - - - - - - - - - - - - -,3"" Shank,4"" Shank"	
Product Name		SUBCATEGORYNAME	TAGNAME	Description Descriptionnnnnnnn 	99999,88888	partnumber1,partnumber2	xxxxxx,meta 1,meta 2	
product				description test  	-upc-	part	value	
